elapsed_seconds,flops,max_abs_err,memory_bytes,repeats,size,strategy,valid
0.0164738,128000000,4.320099833421409e-12,3840000,3,400,sequential,True
0.0325859,432000000,6.821210263296962e-12,8640000,3,600,sequential,True
0.0733165,1024000000,1.0913936421275139e-11,15360000,3,800,sequential,True
0.143183,2000000000,1.2278178473934531e-11,24000000,3,1000,sequential,True
0.243423,3456000000,1.6370904631912708e-11,34560000,3,1200,sequential,True
0.530063,5488000000,2.000888343900442e-11,47040000,3,1400,sequential,True
1.21267,8192000000,2.8194335754960775e-11,61440000,3,1600,sequential,True
1.755,11664000000,2.3646862246096134e-11,77760000,3,1800,sequential,True
2.42765,16000000000,3.2741809263825417e-11,96000000,3,2000,sequential,True
3.19316,21296000000,3.637978807091713e-11,116160000,3,2200,sequential,True
4.11921,27648000000,3.728928277269006e-11,138240000,3,2400,sequential,True
5.17852,35152000000,4.001776687800884e-11,162240000,3,2600,sequential,True
6.42991,43904000000,4.18367562815547e-11,188160000,3,2800,sequential,True
7.82243,54000000000,5.4569682106375694e-11,216000000,3,3000,sequential,True
